id,value
id_169,21.300931711886975
id_170,59.1016181052739
id_171,41.07424588624402
id_172,31.47253612326233
id_173,26.171285319791586
id_174,57.629327705479696
id_175,29.75620119636797
id_176,27.190971918255908
id_177,38.83918192204731
id_178,20.047489284937623
id_179,34.57895372859857
id_180,24.305015220490688
id_181,20.323368124288024
id_182,52.40053529799783
id_183,45.85639530862727
id_184,24.124465305232622
id_185,36.87702426170533
id_186,30.779378855478882
id_187,63.905930159552696
id_188,18.932969605991556
id_189,54.36791677539026
id_190,39.98547607448646
id_191,23.33874368781982
id_192,33.42416973472108
id_193,4.660202531055737
id_194,26.47937706405666
id_195,11.759190548267739
id_196,37.12675331720147
id_197,19.25181601236679
id_198,25.333944229494225
id_199,57.947399907141374
id_200,29.268708465510258
id_201,22.170724479669115
id_202,60.18992522998342
id_203,19.595286794486334
id_204,17.744965932468894
id_205,19.818712333206946
id_206,17.826087121992206
id_207,12.944883597521915
id_208,103.90595340591587
id_209,26.245875349009733
id_210,22.062225238957065
id_211,22.13846468624271
id_212,39.32153431141973
id_213,38.84655459648406
id_214,25.97121415569878
id_215,35.962079194416596
id_216,70.24368616071636
id_217,11.478820763051422
id_218,21.208723497927178
id_219,35.787119864463534
id_220,23.199492149560054
id_221,19.764264502486338
id_222,98.00054874894104
id_223,20.396603113287323
id_224,23.975798204447255
id_225,56.54925743509743
id_226,24.481769690629005
id_227,37.8470215644858
id_228,18.58892446193138
id_229,16.383364129234412
id_230,46.04513452401038
id_231,21.275369645738525
id_232,51.15873940008224
id_233,42.86528889901926
id_234,28.317024573879007
id_235,43.32173411559598
id_236,63.41036902251926
id_237,41.56339664043114
id_238,20.30186201412358
id_239,23.086964993711145
